year,gdp_growth_lag1,unemployment_lag1,financial_conditions_lag1
2015,,,
2016,0.681946608229822,5.325,
2017,0.8758993780409452,4.9,-0.35592333333333337
2018,1.2192976314968906,4.4,
2019,1.081796959987874,3.9,
2020,1.1922925304670706,3.75,
2021,0.35991356867688706,8.875,
2022,2.953581944359074,5.6,-0.6323449999999999
2023,1.9162858222131263,3.7,-0.26794
2024,1.510789235636384,3.575,
2025,1.209812787104747,3.975,
