SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab
1031164,"Automatic Data Processing, Inc.",ADP,2021,2575200,3093300,3383200,3893900,-59700,2985000,23500,48772500,15005400,
1031164,"Automatic Data Processing, Inc.",ADP,2022,1436300,3099500,3864900,4380000,-81900,2987100,136400,63068200,16498300,
1031164,"Automatic Data Processing, Inc.",ADP,2023,2083500,4207600,4558200,5107500,-253300,2989000,105400,50971000,18012200,
1031164,"Automatic Data Processing, Inc.",ADP,2024,2913400,4157600,4977200,5539100,-361400,2991300,385400,54362700,19202600,
1031164,"Automatic Data Processing, Inc.",ADP,2025,3347800,4939700,5442800,6025200,-455900,3974700,4807900,53369300,20560900,
3001622,Avery Dennison Corporation,AVY,2020,252300,751300,873600,1049900,-70000,2065900,59100,6083900,6971500,
3001622,Avery Dennison Corporation,AVY,2021,162700,1046800,1047800,1261800,-70200,2784500,313300,7971600,8408300,
3001622,Avery Dennison Corporation,AVY,2022,167200,961000,1088200,1349400,-84100,2495300,343500,7950500,9039300,
3001622,Avery Dennison Corporation,AVY,2023,215000,826000,966000,1236500,-119000,2615100,316300,8209800,8364300,
3001622,Avery Dennison Corporation,AVY,2024,329100,938800,1141500,1420600,-117000,2550800,36900,8404200,8755700,
3001792,"Amazon.com, Inc.",AMZN,2020,42122000,66064000,22899000,48079000,-1647000,35216000,725000,321195000,386064000,
3001792,"Amazon.com, Inc.",AMZN,2021,36220000,46327000,24879000,59312000,-1809000,54944000,1043000,420549000,469822000,
3001792,"Amazon.com, Inc.",AMZN,2022,53888000,46752000,13348000,55269000,-2367000,73850000,8000000,462675000,513983000,
3001792,"Amazon.com, Inc.",AMZN,2023,73387000,84946000,36852000,85515000,-3182000,64914000,147000,527854000,574785000,
3001792,"Amazon.com, Inc.",AMZN,2024,78779000,115877000,68593000,120468000,-2406000,59723000,151000,624894000,637959000,
3002287,Textron Inc.,TXT,2020,2146000,768000,629000,1020000,-145000,3198000,,15443000,11651000,
3002287,Textron Inc.,TXT,2021,1922000,1598000,1005000,1395000,-124000,3179000,,15827000,12382000,
3002287,Textron Inc.,TXT,2022,1963000,1488000,1112000,1509000,-94000,3175000,,16293000,12869000,
3002287,Textron Inc.,TXT,2023,2121000,1266000,1276000,1671000,-62000,3146000,,16856000,13683000,
3002287,Textron Inc.,TXT,2024,1386000,1014000,1137000,1519000,-78000,2793000,,16838000,13702000,
3002455,Levi Strauss & Co.,LEVI,2020,1497155,469600,71200,213000,-82200,1546700,17631,5641241,4452600,
3002455,Levi Strauss & Co.,LEVI,2021,810300,737300,686200,829400,-72900,1020700,5900,5900100,5763900,
3002455,Levi Strauss & Co.,LEVI,2022,429600,228100,667200,826100,-25700,984500,11700,6037800,6168600,
3002455,Levi Strauss & Co.,LEVI,2023,398800,435500,554800,719700,-45900,1009400,12500,6053600,6179000,
3002455,Levi Strauss & Co.,LEVI,2024,690000,898400,653500,846400,-41800,994000,5500,6375500,6355300,
3002572,Unit Corporation,UNTC,2020,12145,74763,-112953,32517,-28525,98400,,649703,410485,
3002572,Unit Corporation,UNTC,2021,64140,175969,76279,140605,-4266,19200,,629477,638716,
3002572,Unit Corporation,UNTC,2022,213975,159421,172003,197944,-447,,,469255,545525,
3002572,Unit Corporation,UNTC,2023,60779,150162,126193,145797,-164,,,322720,327293,
3002572,Unit Corporation,UNTC,2024,48884,75216,55928,72374,-55,,,289243,237612,
3005566,Walmart Inc.,WMT,2020,9465000,25255000,21468000,32455000,-2599000,44410000,575000,236495000,523964000,
3005566,Walmart Inc.,WMT,2021,17741000,36074000,22548000,33700000,-2315000,41588000,224000,252496000,559151000,
3005566,Walmart Inc.,WMT,2022,14760000,24181000,25942000,36600000,-1994000,35959000,410000,244860000,572754000,
3005566,Walmart Inc.,WMT,2023,8625000,28841000,24528000,35473000,-2128000,36761000,372000,243197000,611289000,
3005566,Walmart Inc.,WMT,2024,9867000,35726000,27012000,38865000,-2683000,38088000,878000,252399000,648125000,
3005566,Walmart Inc.,WMT,2025,9037000,36443000,29249000,42222000,-2728000,35400000,3068000,260823000,680985000,
3005684,"TPI Composites, Inc.",TPIC.Q,2020,129857,37570,-49722,-55,-10377,182359,,956257,1143054,
3005684,"TPI Composites, Inc.",TPIC.Q,2021,216236,-25525,-66847,-14254,-13644,5819,,1007701,1472386,
3005684,"TPI Composites, Inc.",TPIC.Q,2022,133546,-62272,23192,68672,-5020,1,,962176,1478739,
3005684,"TPI Composites, Inc.",TPIC.Q,2023,161059,-80972,-91910,-53041,-12101,413957,,804080,1432408,
3005684,"TPI Composites, Inc.",TPIC.Q,2024,196518,12498,-80535,-50053,-92420,485028,,692464,1331131,
3007562,Exxon Mobil Corporation,XOM,2020,4364000,14668000,-3982000,17016000,-1158000,45502000,17528000,332750000,179784000,
3007562,Exxon Mobil Corporation,XOM,2021,6802000,48129000,24881000,44288000,-947000,41667000,1884000,338923000,277140000,
3007562,Exxon Mobil Corporation,XOM,2022,29640000,76797000,70208000,89648000,-798000,39170000,453000,369067000,400737000,
3007562,Exxon Mobil Corporation,XOM,2023,31539000,55369000,49015000,66356000,-849000,35662000,81000,376317000,336665000,
3007562,Exxon Mobil Corporation,XOM,2024,23029000,55022000,41460000,64294000,-996000,34632000,63000,453475000,340568000,
3009591,Dana Incorporated,DAN,2020,559000,386000,177000,542000,-138000,2495000,26000,7376000,7106000,
3009591,Dana Incorporated,DAN,2021,268000,158000,353000,742000,-131000,2390000,23000,7632000,8945000,
3009591,Dana Incorporated,DAN,2022,425000,649000,247000,635000,-128000,2316000,52000,7449000,10156000,
3009591,Dana Incorporated,DAN,2023,529000,476000,325000,741000,-154000,2576000,22000,7965000,10555000,
3009591,Dana Incorporated,DAN,2024,494000,450000,321000,743000,-161000,2315000,8000,7485000,10284000,
3009693,"Alico, Inc.",ALCO,2020,3163,1049,7519,21801,-5981,140897,,423937,92507,
3009693,"Alico, Inc.",ALCO,2021,886,16504,14440,29562,-3987,121023,,433217,108564,
3009693,"Alico, Inc.",ALCO,2022,865,6523,-3268,11961,-3324,107841,,409255,91947,
3009693,"Alico, Inc.",ALCO,2023,1062,-6254,-2581,12906,-4911,126132,,428353,39846,
3009693,"Alico, Inc.",ALCO,2024,3150,-30497,-19654,-4644,-3538,90707,,398719,46643,
3009693,"Alico, Inc.",ALCO,2025,38128,20126,-26741,-12782,-4848,85297,,201527,44066,
3009699,"Tyson Foods, Inc.",TSN,2020,1420000,3874000,3112000,4290000,-485000,10791000,,34456000,43185000,
3009699,"Tyson Foods, Inc.",TSN,2021,2507000,3840000,4420000,5615000,-428000,8281000,,36309000,47049000,
3009699,"Tyson Foods, Inc.",TSN,2022,1031000,2687000,4451000,5642000,-365000,7862000,,36821000,53282000,
3009699,"Tyson Foods, Inc.",TSN,2023,573000,1752000,772000,2082000,-355000,7558000,592000,36251000,52881000,
3009699,"Tyson Foods, Inc.",TSN,2024,1717000,2590000,1762000,3150000,-481000,9623000,,37100000,53309000,
3009699,"Tyson Foods, Inc.",TSN,2025,1229000,2155000,1517000,2828000,-449000,7808000,,36658000,54441000,
3009783,"Ingles Markets, Incorporated",IMKT.A,2020,6903.955,350117.097,276502.727,392784.966,-40529.096,586198.36,,1899298.902,4610609.025,
3009783,"Ingles Markets, Incorporated",IMKT.A,2021,70313.35,306296.688,340101.715,457205.373,-24332.143,571913.204,,2018343.955,4987919.603,
3009783,"Ingles Markets, Incorporated",IMKT.A,2022,267198.517,339498.47,375574.475,493376.129,-21508.135,554287.42,,2295510.725,5678835.032,
3009783,"Ingles Markets, Incorporated",IMKT.A,2023,328539.922,266411.341,289534.381,405513.553,-22068.29,532631.96,,2473845.733,5892781.732,
3009783,"Ingles Markets, Incorporated",IMKT.A,2024,353687.911,262516.708,172938.184,294560.763,-21859.8,515101.562,,2527882.715,5639609.434,
3009783,"Ingles Markets, Incorporated",IMKT.A,2025,366245.951,154097.893,117996.316,240886.815,-19710.406,497289.417,,2566054.643,5334032.609,
3010401,"NextEra Energy, Inc.",NEE,2020,1105000,7983000,4963000,9278000,-1950000,41944000,2009000,127684000,17997000,
3010401,"NextEra Energy, Inc.",NEE,2021,639000,7553000,3093000,7307000,-1270000,50960000,2082000,140912000,17069000,
3010401,"NextEra Energy, Inc.",NEE,2022,1601000,8262000,3875000,8665000,-585000,55256000,3077000,158935000,20956000,
3010401,"NextEra Energy, Inc.",NEE,2023,2690000,11301000,10077000,16228000,-3324000,61405000,4905000,177489000,28114000,
3010401,"NextEra Energy, Inc.",NEE,2024,1487000,13260000,7362000,13123000,-2235000,72385000,1887000,190144000,24753000,
4000820,Murphy Oil Corporation,MUR,2020,310606,802708,-132785,963042,-169423,2988067,,10620852,1954370,
4000820,Murphy Oil Corporation,MUR,2021,521184,1422163,516962,1396465,-221773,2465414,,10304940,2801215,
4000820,Murphy Oil Corporation,MUR,2022,491963,2165744,1632063,2501569,-150759,1817608,,10308952,4220140,
4000820,Murphy Oil Corporation,MUR,2023,317074,1748755,1037849,1997040,-110173,1324114,,9766697,3448854,
4000820,Murphy Oil Corporation,MUR,2024,423569,1728990,591010,1608241,-85626,1269625,,9667479,3018598,
4000844,Oil-Dri Corporation of America,ODC,2020,40890,42462,8412,22335,-518,8848,,235882,283227,
4000844,Oil-Dri Corporation of America,ODC,2021,24591,13636,13213,27390,-722,7878,,227566,304981,
4000844,Oil-Dri Corporation of America,ODC,2022,16298,9017,11663,25282,-1228,31798,,249611,348589,
4000844,Oil-Dri Corporation of America,ODC,2023,31754,49764,41940,57629,-1464,30827,,286235,413021,
4000844,Oil-Dri Corporation of America,ODC,2024,23481,60313,51745,71237,-1804,49774,,354605,437587,
4000844,Oil-Dri Corporation of America,ODC,2025,50458,80183,68220,90452,-2434,38817,,391677,485572,
4001036,Modine Manufacturing Company,MOD,2020,70900,57900,55500,132600,-22700,448700,14800,1536100,1975500,
4001036,Modine Manufacturing Company,MOD,2021,37800,149800,86600,155200,-19400,308000,1400,1276700,1808400,
4001036,Modine Manufacturing Company,MOD,2022,45200,11500,93000,147800,-15600,345600,7700,1427000,2050100,
4001036,Modine Manufacturing Company,MOD,2023,67100,107500,153400,207900,-20700,327000,3700,1565900,2297900,
4001036,Modine Manufacturing Company,MOD,2024,60100,214600,252100,308200,-24100,398000,12000,1851500,2407800,
