SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab,total_debt,interest_coverage,leverage,roa,ocf_to_debt,leverage_w,interest_coverage_w,roa_w,ocf_to_debt_w,distress,distress_lag1,distress_2y,default_t_plus_1
107257,Willis Lease Finance Corporation,WLFC,2020,42540.0,93444.0,103025.0,197566.0,-63024.0,1693753.0,,2364948.0,288771.0,,,,,0.043563325705258636,,,,0.043563325705258636,,0,,0,0.0
107257,Willis Lease Finance Corporation,WLFC,2021,14329.0,90658.0,60228.0,150732.0,-67985.0,1790264.0,,2462927.0,250390.0,,,,,0.024453830746912108,,,,0.024453830746912108,,0,0.0,0,0.0
107257,Willis Lease Finance Corporation,WLFC,2022,12146.0,144424.0,85194.0,173454.0,-66743.0,1847278.0,,2575217.0,301232.0,,,,,0.033082260640559615,,,,0.033082260640559615,,0,0.0,0,0.0
107257,Willis Lease Finance Corporation,WLFC,2023,7071.0,229737.0,140394.0,231319.0,-78795.0,1802881.0,,2652344.0,409834.0,,,,,0.05293204802996896,,,,0.05293204802996896,,0,0.0,0,0.0
107257,Willis Lease Finance Corporation,WLFC,2024,9110.0,284406.0,251707.0,346916.0,-104764.0,2193862.0,,3297196.0,557540.0,,,,,0.0763397141085941,,,,0.0763397141085941,,0,0.0,0,
113873,Ford Motor Company,F,2020,10894000.0,24269000.0,-4115000.0,3197000.0,-1651000.0,22265000.0,613000.0,267261000.0,127144000.0,,22878000.0,,0.0856017151772986,-0.015396934083162152,1.0608007692980155,0.0856017151772986,,-0.015396934083162152,1.0608007692980155,0,,0,0.0
113873,Ford Motor Company,F,2021,9577000.0,15787000.0,6717000.0,12677000.0,-1803000.0,16711000.0,286000.0,257035000.0,136341000.0,,16997000.0,,0.06612718112319334,0.026132627852238022,0.928810966641172,0.06612718112319334,,0.026132627852238022,0.928810966641172,0,0.0,0,0.0
113873,Ford Motor Company,F,2022,14741000.0,6853000.0,8080000.0,14573000.0,-1282000.0,18712000.0,359000.0,255884000.0,158057000.0,,19071000.0,,0.07452986509512123,0.03157680824123431,0.359341408421163,0.07452986509512123,,0.03157680824123431,0.359341408421163,0,0.0,0,0.0
113873,Ford Motor Company,F,2023,14204000.0,14918000.0,5393000.0,11916000.0,-1318000.0,18861000.0,362000.0,273310000.0,176191000.0,,19223000.0,,0.07033405290695548,0.019732172258607444,0.7760495240076991,0.07033405290695548,,0.019732172258607444,0.7760495240076991,0,0.0,0,0.0
113873,Ford Motor Company,F,2024,13663000.0,15423000.0,5200000.0,11067000.0,-1136000.0,18187000.0,632000.0,285196000.0,184992000.0,,18819000.0,,0.06598619896492237,0.018233074797682998,0.8195440777937191,0.06598619896492237,,0.018233074797682998,0.8195440777937191,0,0.0,0,
